ID,utterances,IOB Slot tags
70,who starred in finding nemo,O O O B_movie I_movie
71,who stars in finding nemo,O O O B_movie I_movie
72,who was the main character in men in black 3,O O O O O O B_movie I_movie I_movie I_movie
73,can i see the credits for dirty dancing,O O O O O O B_movie I_movie
74,cast of dirty dancing,O O B_movie I_movie
75,find cast and crew for dirty dancing,O O O O O B_movie I_movie
76,search cast and crew for dirty dancing,O O O O O B_movie I_movie
77,search for the cast and crew for the movie dirty dancing,O O O O O O O O O B_movie I_movie
78,show me the cast and list for dirty dancing,O O O O O O O B_movie I_movie
79,who starred in dirty dancing,O O O B_movie I_movie
80,who starred in dirty dancing,O O O B_movie I_movie
81,who were the stars of dirty dancing,O O O O O B_movie I_movie
82,who was the male star of titanic,O O O O O O B_movie
83,who starred in taxi,O O O B_movie
84,who played in the oranges,O O O B_movie I_movie
85,actors for life is beautiful,O O B_movie I_movie I_movie
86,who are the lead actors in life is beautiful,O O O O O O B_movie I_movie I_movie
87,find the male actor from the movie born free,O O O O O O O B_movie I_movie
88,actor from iron man,O O B_movie I_movie
89,shows actors in shoot to kill,O O O B_movie I_movie I_movie
90,which actors starred in hitch,O O O O B_movie
91,who are all of the actors in hitch,O O O O O O O B_movie
92,who was the lead actor in hitch,O O O O O O B_movie
93,who starred in dark knight rising,O O O B_movie I_movie I_movie
94,who played nick fury in the avengers,O O B_char I_char O B_movie I_movie
95,who was the lead actor in the avengers,O O O O O O B_movie I_movie
96,what was the cast of black swan,O O O O O B_movie I_movie
97,who acted in black swan,O O O B_movie I_movie
98,who was in black swan,O O O B_movie I_movie
99,who was the lead in black swan,O O O O O B_movie I_movie
100,actors in star wars four,O O B_movie I_movie I_movie
101,what was the actor who played esme in twilight,O O O O O O B_char O B_movie
102,who played esme in twilight,O O B_char O B_movie
103,who starred in the parent trap,O O O B_movie I_movie I_movie
104,cast and crew for hitch,O O O O B_movie
105,cast and crew of hitch,O O O O B_movie
106,cast hitch,O B_movie
107,hitch crew,B_movie O
108,list cast hitch,O O B_movie
109,show me hitch 's cast,O O B_movie O O
110,show the cast of hitch,O O O O B_movie
111,what actors appeared in the movie hitch,O O O O O O B_movie
112,what actors played in the movies hitch,O O O O O O B_movie
113,what was the cast of hitch,O O O O O B_movie
114,who starred in hitch,O O O B_movie
115,who starred in the movie hitch,O O O O O B_movie
116,who stars in hitch,O O O B_movie
117,who was in hitch,O O O B_movie
118,who was in the movie hitch,O O O O O B_movie
119,who was the star in hitch,O O O O O B_movie
120,voice actor for homer simpson,O O O B_char I_char
121,who is in the movie two can play that game,O O O O O B_movie I_movie I_movie I_movie I_movie
122,actress from gone with the wind,O O B_movie I_movie I_movie I_movie
123,who are the lead actors in this movie,O O O O O O O O
124,show me information on the cast and crew of pitchperfect,O O O O O O O O O B_movie
125,actors in house at the end of the street,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
126,can i see the cast and crew for house at the end of the street,O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
127,cast and crew for house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
128,cast and crew for the movie house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
129,who stars on the house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
130,who is in movie,O O O O
131,who is in movie,O O O O
132,who is in movie,O O O O
133,who acts in forager,O O O B_movie
134,who stars in forager,O O O B_movie
135,who is the cast and crew for now forager,O O O O O O O O B_movie
136,who was in now,O O O B_movie
137,actor from modern family,O O B_movie I_movie
138,list the actors in forager,O O O O B_movie
139,cast and crew of go,O O O O B_movie
140,who starred in go,O O O B_movie
141,who was the lead actress in the hunger games,O O O O O O B_movie I_movie I_movie
142,show cast of movie request,O O O O B_movie
143,what is the cast in resident evil retribution,O O O O O B_movie I_movie I_movie
144,list me the actors for top gun,O O O O O B_movie I_movie
145,who was the tin man in wizard of oz,O O O B_char I_char O B_movie I_movie I_movie
146,actress in hum tum,O O B_movie I_movie
147,who was the actor in movie hum tum,O O O O O O B_movie I_movie
148,who is in barfi,O O O B_movie
149,who was the lead woman in the savages,O O O O O O B_movie I_movie
150,find the name of the actor who played jack in the movie titanic,O O O O O O O O B_char O O O B_movie
151,the name of the male lead in the movie titanic,O O O O O O O O O B_movie
152,what is the name of the lead actor in the titanic,O O O O O O O O O O B_movie
153,show me who played what role in go,O O O O O O O B_movie
154,i cannot remember the name of the actor in pretty women,O O O O O O O O O B_movie I_movie
155,what is the name of the actor who was in the parent trap,O O O O O O O O O O B_movie I_movie I_movie
156,find name of main actor in the movie the help,O O O O O O O O B_movie I_movie
157,looking for names of crew members of apollo thirteen,O O O O O O O B_movie I_movie
158,i can 't figure out the name of the lead guy in the avengers,O O O O O O O O O O O O B_movie I_movie
159,what were the names of the ladies in facts of life,O O O O O O O O B_movie I_movie I_movie
160,how old is steven spielberg,O O O B_person I_person
161,when steven spielberg born,O B_person I_person O
162,what is tom cruise 's birthday,O O B_person I_person O O
163,when was tom cruise born,O O B_person I_person O
164,when is will ferrell 's birthday,O O B_person I_person O O
165,how old is kristen stewart,O O O B_person I_person
166,how much did it cost to produce the dark night,O O O O O O O B_movie I_movie I_movie
167,how much did the dark night cost to produce,O O O B_movie I_movie I_movie O O O
168,what was the dark night budget,O O B_movie I_movie I_movie O
169,the godfather 's budget,B_movie I_movie O O
170,budget for the blind side,O O B_movie I_movie I_movie
171,i want to look up the budget of freedom writers,O O O O O O O O B_movie I_movie
172,i would like to look up the budget of freedom writers,O O O O O O O O O B_movie I_movie
173,look for the budget of freedom writers,O O O O O B_movie I_movie
174,how much was hunger games made for,O O O B_movie I_movie O O
175,how much was the budget for the hunger games,O O O O O O B_movie I_movie I_movie
176,how much did black swan cost,O O O B_movie I_movie O
177,how much did hollywood pay for black swan,O O O O O O B_movie I_movie
178,what was the budget for black swan,O O O O O B_movie I_movie
179,what were production costs for black swan,O O O O O B_movie I_movie
180,what was the budget for wrong turn,O O O O O B_movie I_movie
181,search for the budget of step up,O O O O O B_movie I_movie
182,budget for titanic,O O B_movie
183,budget for titanic,O O B_movie
184,budget for titanic movie,O O B_movie O
185,how much did titanic cost to make,O O O B_movie O O O
186,how much was the total budget for the titanic,O O O O O O O O B_movie
187,what was titanic 's budget,O O B_movie O O
188,what was the budget for courageous,O O O O O B_movie
189,what was the budget for facing the giants,O O O O O B_movie I_movie I_movie
190,budget of heroine,O O B_movie
191,finding the buget of heroine,O O O O B_movie
192,looking of movie heroine 's budget,O O O B_movie O O
193,what is the buget of movie heroine,O O O O O O B_movie
194,how much did it cost to make jurassic park,O O O O O O O B_movie I_movie
195,what was the budget for jurassic park,O O O O O B_movie I_movie
196,how much did james cameron have to spend to make avatar,O O O B_director I_director O O O O O B_movie
197,avatar must have cost a bundle,B_movie O O O O O
198,did the avatar movie have a budget for spending,O O B_movie O O O O O O
199,get me info on the budget for avatar,O O O O O O O B_movie
200,how much did it cost to make avatar,O O O O O O O B_movie
201,how much did the studio spend to make avatar,O O O O O O O O B_movie
202,how much money was budgeted for the avatar movie,O O O O O O O B_movie O
203,i need to know the budget of the movie avatar,O O O O O O O O O B_movie
204,i want to know the avatar 's budget,O O O O O O B_movie O
205,list the budget for avatar,O O O O B_movie
206,show me what was the budget of the movie avatar,O O O O O O O O O B_movie
207,what did the movie avatar cost to make,O O O O B_movie O O O
208,what was avatar 's budget,O O O B_movie O
209,what was the budget for avatar,O O O O O B_movie
210,what was the budget for avatar,O O O O O B_movie
211,what was the budget for avatar,O O O O O B_movie
212,what was the budget for the movie avatar,O O O O O O O B_movie
213,what was the budget of the movie avatar,O O O O O O O B_movie
214,how much did the movie avatar cost,O O O O O B_movie O
215,how much money was spent on batman,O O O O O O B_movie
216,tell me the budget for the movie batman,O O O O O O O B_movie
217,how much did batman begins cost,O O O B_movie I_movie O
218,how much was it to make the film batman begins,O O O O O O O O B_movie I_movie
219,budget for the avengers,O O B_movie I_movie
220,how much did it take to make the avengers,O O O O O O O B_movie I_movie
221,what was the budget for the avengers,O O O O O B_movie I_movie
222,what was the budget for citizen kane,O O O O O B_movie I_movie
223,find out the budget of cujo,O O O O O B_movie
224,budget for gone with the wind,O O B_movie I_movie I_movie I_movie
225,gone with the wind 's budget information please,B_movie I_movie I_movie I_movie O O O O
226,gone with the wind 's budget,B_movie I_movie I_movie I_movie O O
227,show me the budget for the movie,O O O O O O O
228,budget for the hulk,O O O B_movie
229,budget request for my big fat greek wedding,O O O B_movie I_movie I_movie I_movie I_movie
230,find the budget of my big fat greek wedding,O O O O B_movie I_movie I_movie I_movie I_movie
231,how much did my big fat greek wedding cost,O O O B_movie I_movie I_movie I_movie I_movie O
232,what was the budget of my big fat greek wedding,O O O O O B_movie I_movie I_movie I_movie I_movie
233,what was the budget for old school,O O O O O B_movie I_movie
234,what was the bourne identity 's budget,O O B_movie I_movie I_movie O O
235,how much did it cost to produce the deer hunter,O O O O O O O B_movie I_movie I_movie
236,provide the cost for producing the deer hunter,O O O O O B_movie I_movie I_movie
237,will you show the cost to produce the deer hunter,O O O O O O O B_movie I_movie I_movie
238,what was the budget for the hobbit,O O O O O B_movie I_movie
239,can i see what the lion king 's budget was,O O O O B_movie I_movie I_movie O O O
240,show me the lion king 's budget,O O B_movie I_movie I_movie O O
241,what was the budget for passion of the christ,O O O O O B_movie I_movie I_movie I_movie
242,what was the budget for top gun,O O O O O B_movie I_movie
243,what was top gun 's budget,O O B_movie I_movie O O
244,who does ellen degeneres play in finding nemo,O O O O O O B_movie I_movie
245,what character did tom hanks play in apollo thirteen,O O O O O O O B_movie I_movie
246,lion king characters,B_movie I_movie O
247,what character did will smith play in hitch,O O O O O O O B_movie
248,what role did sarah polley play in go,O O O O O O O B_movie
249,what was kevin james role in hitch,O O O O O O B_movie
250,who directed the music in gone with the wind,O O O O O B_movie I_movie I_movie I_movie
251,show me the music composer for the movie,O O O O O O O O
252,who directed the musical score in barfi,O O O O O O B_movie
253,how many films did ed harris do with tom hanks,O O O O B_person I_person O O B_person I_person
254,how many movies were released on nine twenty eight twelve,O O O O O O B_release_year I_release_year I_release_year I_release_year
255,how many movies were filmed in asia,O O O O O O B_location
256,how many films directed by barbra streisand have been shot in the czech republic,O O O O O B_director I_director O O O O O B_country I_country
257,how many movies has albert ruddy produced,O O O O B_producer I_producer O
258,how many movies has lionsgate done,O O O O B_producer O
259,how many movies did richard lester direct,O O O O B_director I_director O
260,how many films has taye diggs been in,O O O O B_cast I_cast O O
261,how many movies has ray stark produced,O O O O B_producer I_producer O
262,how many producers did the movie the hitch have,O O O O O O O B_movie O
263,how many movies has charles vidor directed,O O O O B_director I_director O
264,how many movies has kristen stewart made,O O O O B_person I_person O
265,i wonder how many movies alfred hitchcock was in that he directed,O O O O O B_director I_director O O O O O
266,how many movies has steven spielberg directed,O O O O B_director I_director O
267,how many films did robert wise direct,O O O O B_director I_director O
268,how many movies has tom cruise starred in,O O O O B_cast I_cast O O
269,how many movies did scorsese direct,O O O O B_director O
270,how many movies has angelina jolie been in,O O O O B_cast I_cast O O
271,how many movies did victor fleming direct,O O O O B_director I_director O
272,how many movies has woody allen directed,O O O O B_director I_director O
273,how many movies has darla anderson produced,O O O O B_producer I_producer O
274,how many films did alfred hitchcock direct,O O O O B_director I_director O
275,how many movies did hitchcock direct,O O O O B_director O
276,how many movies has tom hanks starred in,O O O O B_cast I_cast O O
277,how many woody allen movies starred diane keaton,O O B_director I_director O O B_cast I_cast
278,how many films has ed harris starred in,O O O O B_cast I_cast O O
279,how many movies are made in the united states,O O O O O O O B_country I_country
280,where was footnote made,O O B_movie O
281,what country did the flowers of war come from,O O O B_movie I_movie I_movie I_movie O O
282,country of le havre,O O B_movie I_movie
283,what country does the movie kati patang comes from,O O O O O B_movie I_movie O O
284,show me the name of the country for the movie thoda pyaar thoda magic,O O O O O O O O O O B_movie I_movie I_movie I_movie
285,can you tell me which country the movie kati patang comes from,O O O O O O O O B_movie I_movie O O
286,i need to know the name of the country to which the movie kati patang belongs to,O O O O O O O O O O O O O B_movie I_movie O O
287,show me the name of the country from which the movie kati patang comes,O O O O O O O O O O O B_movie I_movie O
288,can you tell me which country does thoda pyaar thoda magic belongs to,O O O O O O O B_movie I_movie I_movie I_movie O O
289,give me the name of the country for the movie thoda pyaar thoda magic,O O O O O O O O O O B_movie I_movie I_movie I_movie
290,i need to know which country does the movie thoda pyaar thoda magic belongs to,O O O O O O O O O B_movie I_movie I_movie I_movie O O
291,country that made a separation,O O O B_movie I_movie
292,what country is godzilla,O O O B_movie
293,country of weekend,O O B_movie
294,i would like to search for what country cell 21 is from,O O O O O O O O B_movie I_movie O O
295,look for what country cell 21 is from,O O O O B_movie I_movie O O
296,what country is cell 21 from,O O O B_movie I_movie O
297,what country did black beauty come from,O O O B_movie I_movie O O
298,i need to know where trainspotting comes from,O O O O O B_movie O O
299,tell me where is trainspotting from,O O O O B_movie O
300,which country made elizabeth,O O O B_movie
301,where was trainspotting made,O O B_movie O
302,what country did shindler 's list come from,O O O B_movie I_movie I_movie O O
303,which country is this movie from,O O O O O O
304,show me where black swan is from,O O O B_movie I_movie O O
305,where was black swan produced,O O B_movie I_movie O
306,what is the origin of casa blanca,O O O O O B_movie I_movie
307,origin of gone with the wind,O O B_movie I_movie I_movie I_movie
308,lion king filmed at,B_movie I_movie O O
309,where was rocky four filmed,O O B_movie I_movie O
310,origin of spanglish,O O B_movie
311,movie made where,O O O
312,what country is movie from,O O O O O
313,in what country was movie made,O O O O O O
314,where was movie made,O O O O
315,is this a foreign film,O O O O O
316,is this a foreign film,O O O O O
317,what country was kinky boots made in,O O O B_movie I_movie O O
318,what country is outside the law from,O O O B_movie I_movie I_movie O
319,what country produced the movie mirror,O O O O O B_movie
320,what country does mirror come from,O O O B_movie O O
321,what country does les miserable come from,O O O B_movie I_movie O O
322,what is the origin country of mirror,O O O O O O B_movie
323,in what country was the movie mirror produced,O O O O O O B_movie O
324,where was the movie mirror produced,O O O O B_movie O
325,when can i see top gun,O O O O B_movie I_movie
326,when was top gun released,O O B_movie I_movie O
327,when does top gun come out,O O B_movie I_movie O O
328,when the movie top gun was released,O O O B_movie I_movie O O
329,when did richard lester start directing,O O B_director I_director O O
330,when was in july released,O O B_movie I_movie O
331,give me the release date for the little mermaid,O O B_movie O O O B_movie I_movie I_movie
332,what date was spider released,O O O B_movie O
333,can you tell me when 24 will be released,O O O O O B_movie O O O
334,do you know when 24 will be released,O O O O B_movie O O O
335,i want to know when 24 will be released,O O O O O B_movie O O O
336,when will 24 be released,O O B_movie O O
337,how will i know when the movie gone with the wind will be released,O O O O O O O B_movie I_movie I_movie I_movie O O O
338,please tell me when was the movie gone with the wind released,O O O O O O O B_movie I_movie I_movie I_movie O
339,please tell me when will the movie gone with the wind will be released,O O O O O O O B_movie I_movie I_movie I_movie O O O
340,when will the movie gone with the wind be released,O O O O B_movie I_movie I_movie I_movie O O
341,do you know when this movie is available,O O O O O O O O
342,what year was the movie released,O O O O O O
343,which decade did the movie come out,O O O O O O O
344,which month was the movie released,O O O O O O
345,release day for the movie,O O O O O
346,may i have the date of release for this movie,O O O O O O O O O O
347,release date for the vow,O O O B_movie I_movie
348,when was black beauty released,O O B_movie I_movie O
349,titanic release date,B_movie O O
350,when did lionsgate start making movies,O O B_producer O O O
351,search when the birds will be released,O O B_movie I_movie O O O
352,what year did spielberg start directing movies,O O O B_director O O O
353,the godfather came out when,B_movie I_movie O O O
354,when can i see the great gatsby,O O O O B_movie I_movie I_movie
355,when will the great gatsby be out,O O B_movie I_movie I_movie O O
356,when will the great gatsby be released,O O B_movie I_movie I_movie O O
357,when will jaws be released,O O B_movie O O
358,when will the hobbit be released,O O B_movie I_movie O O
359,what year was the hobbit relased,O O O B_movie I_movie O
360,what year did the movie grease open,O O O O O B_movie O
361,movie little women release date is when,O B_movie I_movie O O O O
362,release date for little women,O O O B_movie I_movie
363,when was the movie title little women released,O O O O O B_movie I_movie O
364,can you please tell me when was karate kid released,O O O O O O O B_movie I_movie O
365,karate kid release date,B_movie I_movie O O
366,find release date for karate kid,O O O O B_movie I_movie
367,when did dirty dancing come out,O O B_movie I_movie O O
368,when was dirty dancing released,O O B_movie I_movie O
369,what year was dirty dancing released,O O O B_movie I_movie O
370,when was dirty dancing released,O O B_movie I_movie O
371,when was overboard released,O O B_movie O
372,what year did moon over parador come out,O O O B_movie I_movie I_movie O O
373,release date for batman,O O O B_movie
374,when did jurassic park get released,O O B_movie I_movie O O
375,lion king release yr,B_movie I_movie O O
376,when was while you were sleeping released,O O B_movie I_movie I_movie I_movie O
377,what year was ed harris in in apollo thirteen,O O O O O O O B_movie I_movie
378,what was the date when welcome to the dollhouse was released,O O O O O B_movie I_movie I_movie I_movie O O
379,release date for toy story,O O O B_movie I_movie
380,what was the relase date for men in black,O O O O O O B_movie I_movie I_movie
381,when was life is beautiful released,O O B_movie I_movie I_movie O
382,when was life is beautiful released,O O B_movie I_movie I_movie O
383,when life is beautiful was released,O B_movie I_movie I_movie O O
384,what is possessed realese date,O O B_movie O O
385,look up the release date of resident evil,O O O O O O B_movie I_movie
386,what is resident evil 's release date,O O B_movie I_movie O O O
387,when did resident evil come out,O O B_movie I_movie O O
388,when did resident evil debut in theaters,O O B_movie I_movie O O O
389,when did theaters show resident evil,O O O O B_movie I_movie
390,when was the release date for the movie resident evil,O O O O O O O O B_movie I_movie
391,when was resident evil first in theatres,O O B_movie I_movie O O O
392,when was the scooby do movie released,O O O B_movie I_movie O O
393,when was finding nemo released,O O B_movie I_movie O
394,release date for finding nemo,O O O B_movie I_movie
395,when was finding nemo released,O O B_movie I_movie O
396,when was finding nemo released,O O B_movie I_movie O
397,in which date varsham movie released,O O O B_movie O O
398,in which month varsham movie released,O O O B_movie O O
399,release twilight,O B_movie
400,frankenstein release,B_movie O
401,frankenstein release date,B_movie O O
402,when will the movie frankenstein be released,O O O O B_movie O O
403,when was hum tum relesed,O O B_movie I_movie O
404,i want to know when step up was released,O O O O O B_movie I_movie O O
405,i would like to know when the movie step up was released,O O O O O O O O B_movie I_movie O O
406,when was step up released,O O B_movie I_movie O
407,when was the movie step up released,O O O O B_movie I_movie O
408,when did happiness get released,O O B_movie O O
409,when will paranormal activity be released,O O B_movie I_movie O O
410,avatar realease date,B_movie O O
411,avatar release,B_movie O
412,what was the release date for avatar,O O O O O O B_movie
413,when did the movie avatar get released,O O O O B_movie O O
414,when avatar released,O B_movie O
415,when was avatar released,O O B_movie O
416,i need to know when was the movie avatar released,O O O O O O O O B_movie O
417,what day avatar released,O O B_movie O
418,what was the release date of the movie avatar,O O O O O O O O B_movie
419,when was avatar released,O O B_movie O
420,what date was avatar released,O O O B_movie O
421,when was black swan in the theatre,O O B_movie I_movie O O O
422,when was black swan released,O O B_movie I_movie O
423,how long has black swan been out,O O O B_movie I_movie O O
424,find release date of the help,O O O O B_movie I_movie
425,when can the help be released,O O B_movie I_movie O O
426,tell me when compliance came out,O O O B_movie O O
427,when is sinister hitting theaters,O O B_movie O O
428,release date for the hunger games,O O O B_movie I_movie I_movie
429,when was the first hunger games shown,O O B_movie O I_movie I_movie O
430,when was avengers released,O O B_movie O
431,when was lawless released,O O B_movie O
432,release date of snow white and the huntsman,O O O B_movie I_movie I_movie I_movie I_movie
433,release date for amazing spiderman,O O O B_movie I_movie
434,when will the next amazing spiderman come out,O O O O B_movie I_movie O O
435,when was the amazing spiderman released in the movie theatres,O O B_movie I_movie I_movie O O B_movie O O
436,search for the release date of vulgaria,O O O O O O B_movie
437,when did vulgaria come out,O O B_movie O O
438,when was the movie vulgaria released,O O O O B_movie O
439,what date did vulgaria open,O O O B_movie O
440,when did dredd come out,O O B_movie O O
441,what year was the godfather released,O O O O B_movie O
442,release date for the watch,O O O B_movie I_movie
443,when was paranorman be released,O O B_movie O O
444,what year was the campaign released,O O O B_movie I_movie O
445,when was the campaign released,O O B_movie I_movie O
446,when was expendables 2 released,O O B_movie I_movie O
447,when is the release date of resident evil: retribution,O O O O O O B_movie I_movie I_movie
448,what is the calendar date release for looper,O O O O O O O B_movie
449,i would like to know the release date of the movie barfi,O O O O O O O O O O O B_movie
450,i need to know the release date of the movie barfi,O O O O O O O O O O B_movie
451,what is the release date of the movie barfi,O O O O O O O O B_movie
452,show me the release date of the movie barfi,O O O O O O O O B_movie
453,find the release date for heroine,O O O O O B_movie
454,please find the release date of heroine,O O O O O O B_movie
455,what is the release date of heroine,O O O O O O B_movie
456,when was herione released,O O B_movie O
457,when was the movie heroine released,O O O O B_movie O
458,when was house at the end of the street released,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
459,when house at the end of the street showing,O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
460,what is the release date for house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
461,is iron man 3 in theatres yet,O B_movie I_movie I_movie O O O
462,when is iron man 3 coming out,O O B_movie I_movie I_movie O O
463,when will iron man 3 be out in movie theatres,O O B_movie I_movie I_movie O O O O O
464,show me movies listed by directors,O O O O O O
465,director for gone with the wind,O O B_movie I_movie I_movie I_movie
466,show me the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie
467,who are the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie
468,who directed gone with the wind,O O B_movie I_movie I_movie I_movie
469,who directed gone with the wind,O O B_movie I_movie I_movie I_movie
470,who directed gone with the wind,O O B_movie I_movie I_movie I_movie
471,who directed the movie,O O I_movie O
472,show me details about the directors of gone with the wind,O O O O O O O B_movie I_movie I_movie I_movie
473,who directed black swan,O O B_movie I_movie
474,who 's the director of pi,O O O O O B_movie
475,who made batman the dark knight,O O O B_movie I_movie I_movie
476,tell me about inception 's director,O O O B_movie O O
477,show me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie
478,tell me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie
479,who directed the movie the dark knight,O O O O B_movie I_movie I_movie
480,who filmed the dark knight,O O B_movie I_movie I_movie
481,who is the person that directed the film the dark knight,O O O O O O O O B_movie I_movie I_movie
482,which director directed a hard day 's night,O O O B_movie I_movie I_movie I_movie I_movie
483,who directed a hard day 's night,O O B_movie I_movie I_movie I_movie I_movie
484,who directed a hard day 's night,O O B_movie I_movie I_movie I_movie I_movie
485,who directed hard days night,O O B_movie I_movie I_movie
486,who directed cast away,O O B_movie I_movie
487,show me the director of forest gump,O O O O O B_movie I_movie
488,who was the director of forest gump,O O O O O B_movie I_movie
489,who is director of sleepless in seattle,O O O O B_movie I_movie I_movie
490,who directed the movie opening night,O O O O B_movie I_movie
491,who directed the movie men in black 3,O O O O B_movie I_movie I_movie I_movie
492,who was the director in men in black 3,O O O O O B_movie I_movie I_movie I_movie
493,can you tell me the director of the titanic,O O O O O O O O B_movie
494,director for titanic,O O B_movie
495,who was the director of the movie titanic,O O O O O O O B_movie
496,display director of the movie avengers,O O O O O B_movie
497,director of the avengers,O O B_movie I_movie
498,search director of the exorcist,O O O B_movie I_movie
499,find the director for the social network,O O O O B_movie I_movie I_movie
500,find the director of big,O O O O B_movie
501,who is the director of ghost busters,O O O O O B_movie I_movie
502,find the director for pretty woman,O O O O B_movie I_movie
503,who made godzilla,O O B_movie
504,rocky director,B_movie O
505,who directed hope floats,O O B_movie I_movie
506,avatar was directed by whom,B_movie O O O O
507,director of avatar,O O B_movie
508,which director directed avatar,O O O B_movie
509,who did avatar,O O B_movie
510,who directed avatar,O O B_movie
511,who directed avatar,O O B_movie
512,who directed avatar,O O B_movie
513,who directed the film avatar,O O O O B_movie
514,who directed the movie called avatar,O O O O O B_movie
515,who made the movie avatar,O O O O B_movie
516,who was the director of the movie avatar,O O O O O O O B_movie
517,who directed star wars four,O O B_movie I_movie I_movie
518,who directed the movie in july,O O O O B_movie I_movie
519,who made steel magnolias,O O B_movie I_movie
520,the silence of the lambs director,I_movie I_movie I_movie I_movie I_movie O
521,director of the incredibles,O O B_movie I_movie
